iter	Logloss
0	0.6880776921
1	0.6825179633
2	0.6751010617
3	0.6698510409
4	0.6646654612
5	0.660436775
6	0.6557929528
7	0.6508789363
8	0.6466886783
9	0.6429532371
10	0.6370852301
11	0.6316228426
12	0.6269657177
13	0.6212052855
14	0.6159931349
15	0.6108489178
16	0.605777822
17	0.6017866838
18	0.597819177
19	0.594928449
20	0.5914514412
21	0.5879511731
22	0.5833065599
23	0.578479225
24	0.5748384309
25	0.5703554477
26	0.5671806686
27	0.5633796207
28	0.5606147609
29	0.5568666294
30	0.5521471678
31	0.5494683168
32	0.5468877954
33	0.5440219481
34	0.5410827535
35	0.5387219484
36	0.5354156846
37	0.5327996026
38	0.5299287835
39	0.5276404331
40	0.5254551624
41	0.5236430242
42	0.5215367312
43	0.519270625
44	0.5161157189
45	0.5131816331
46	0.511219
47	0.5090024217
48	0.5075821737
49	0.5048023677
50	0.5026866343
51	0.4999399246
52	0.4984405952
53	0.4969653587
54	0.4940827887
55	0.492022147
56	0.4899277432
57	0.4875470305
58	0.4860478547
59	0.483907719
60	0.4814802539
61	0.4792093033
62	0.4770456875
63	0.4749798773
64	0.4736446182
65	0.4725625074
66	0.4711683477
67	0.469618427
68	0.4683104609
69	0.4663996985
70	0.4642959755
71	0.4625877459
72	0.4603681399
73	0.4586450704
74	0.457283814
75	0.4559410526
76	0.4546214528
77	0.4530404209
78	0.4517931058
79	0.4508650596
80	0.449298472
81	0.4482619781
82	0.4472293497
83	0.4460535118
84	0.4449254903
85	0.443286395
86	0.4419509417
87	0.4404978285
88	0.4389699768
89	0.4376563857
90	0.4367305856
91	0.4354143508
92	0.4335048086
93	0.4323754522
94	0.4308151836
95	0.4292462948
96	0.4280020381
97	0.4262960751
98	0.4250534729
99	0.4239732171
100	0.4230108621
101	0.4214071153
102	0.4200468542
103	0.4182854057
104	0.4172405098
105	0.415983151
106	0.415063468
107	0.4141128775
108	0.4128901911
109	0.4120275017
110	0.4106121924
111	0.4097414689
112	0.4088729591
113	0.4074517612
114	0.4061747287
115	0.4051164546
116	0.4045760737
117	0.4037233545
118	0.402806868
119	0.4023440185
120	0.4013092444
121	0.4000704772
122	0.3995502194
123	0.398887744
124	0.3972849914
125	0.396655622
126	0.3962040037
127	0.3954686032
128	0.3942997756
129	0.3935346927
130	0.3929898268
131	0.3924121929
132	0.3914591994
133	0.3902667257
134	0.389245322
135	0.388774873
136	0.3882178079
137	0.3876995522
138	0.3867879219
139	0.3860759516
140	0.3849602186
141	0.3842490476
142	0.3836873852
143	0.3828960742
144	0.3822099747
145	0.3815991663
146	0.3811709198
147	0.3804826941
148	0.3793649577
149	0.3785424181
150	0.3775171311
151	0.3769302544
152	0.3764169921
153	0.37586401
154	0.375314106
155	0.37452188
156	0.3742581013
157	0.3735957205
158	0.3729478032
159	0.3724936934
160	0.3718260932
161	0.3710617359
162	0.3695987687
163	0.3688763732
164	0.3682060407
165	0.3676011505
166	0.3665237285
167	0.3659947177
168	0.3651919574
169	0.3642937236
170	0.3631288407
171	0.36227547
172	0.3617350293
173	0.3611532481
174	0.3605726701
175	0.3600399523
176	0.3592894368
177	0.3587983662
178	0.3583383937
179	0.3576102637
180	0.3565639704
181	0.3560580887
182	0.3554166456
183	0.3548815767
184	0.3542324372
185	0.3539608992
186	0.3530958137
187	0.3520420363
188	0.3515975582
189	0.350883512
190	0.3503480121
191	0.3495702245
192	0.3492578249
193	0.3488110967
194	0.3483130956
195	0.3477598273
196	0.34728755
197	0.3466159793
198	0.3453842738
199	0.344554768
200	0.3439748984
201	0.3435143095
202	0.3431316542
203	0.3424017288
204	0.3413472975
205	0.3408375538
206	0.3397212294
207	0.3393172083
208	0.3385792182
209	0.3378916609
210	0.3374365265
211	0.3368534354
212	0.3358986135
213	0.3356071333
214	0.3351467151
215	0.3347835218
216	0.3341882059
217	0.3334809375
218	0.3328731918
219	0.3325681102
220	0.3321996885
221	0.3312942922
222	0.33080308
223	0.3302883522
224	0.3297722862
225	0.3293857543
226	0.3292006069
227	0.3285919707
228	0.3281665974
229	0.3272840142
230	0.3266401897
231	0.3262829838
232	0.3257617806
233	0.3254364289
234	0.3250644466
235	0.3243712978
236	0.3237098115
237	0.3232448189
238	0.322958131
239	0.3225249409
240	0.3219993786
241	0.3216645044
242	0.321280112
243	0.32074507
244	0.3200579244
245	0.3197348508
246	0.3192770627
247	0.3188260898
248	0.3183572224
249	0.3182412957
250	0.3174596006
251	0.3167809981
252	0.3163473322
253	0.3158380406
254	0.3147546759
255	0.3139385835
256	0.3130346563
257	0.3126361274
258	0.3121653322
259	0.3115815706
260	0.3113024451
261	0.3110069366
262	0.3102541039
263	0.3100260862
264	0.309539499
265	0.3090610585
266	0.3086062801
267	0.3079360905
268	0.3074282757
269	0.3071335347
270	0.3066599479
271	0.3061185695
272	0.3054323132
273	0.3051203539
274	0.3048410277
275	0.3046081945
276	0.3044967591
277	0.30407215
278	0.3035735
279	0.303312952
280	0.3029488117
281	0.3022731266
282	0.3016497196
283	0.3010277596
284	0.3005624741
285	0.3002051867
286	0.2997955174
287	0.2992344343
288	0.2989498014
289	0.2985943899
290	0.2980925172
291	0.2976366488
292	0.2972610007
293	0.2970007718
294	0.2962130068
295	0.2957928143
296	0.2957161647
297	0.2952245313
298	0.2949881257
299	0.2942339252
300	0.2938164424
301	0.2933932824
302	0.2931430469
303	0.292668211
304	0.292411628
305	0.292210366
306	0.2920943369
307	0.2916149386
308	0.2912802031
309	0.2910226372
310	0.2905401615
311	0.2899775103
312	0.289722104
313	0.2895499935
314	0.2892830108
315	0.2888648938
316	0.2885416533
317	0.2880695596
318	0.28735038
319	0.2866630358
320	0.2861489286
321	0.2856424939
322	0.2850298524
323	0.2844973162
324	0.2841361768
325	0.2837064578
326	0.2833986086
327	0.2830818144
328	0.2826382679
329	0.2822950363
330	0.2818627006
331	0.2816040081
332	0.280743028
333	0.2803989265
334	0.2797283843
335	0.2790225292
336	0.2789148034
337	0.2785834075
338	0.2782050216
339	0.2778127173
340	0.2775196153
341	0.2772080681
342	0.2770133005
343	0.2766771108
344	0.2761742565
345	0.2756939951
346	0.2755304463
347	0.2751763519
348	0.2749965339
349	0.2745903023
350	0.2744531692
351	0.2741934463
352	0.2738127672
353	0.2731550064
354	0.2727712495
355	0.2723481213
356	0.2718370455
357	0.2716567989
358	0.2714417543
359	0.2713263602
360	0.2709807701
361	0.2705873968
362	0.2702472995
363	0.2698767391
364	0.2693786201
365	0.26904663
366	0.2686429184
367	0.2682610006
368	0.2678716274
369	0.2670246853
370	0.2666996703
371	0.2665839497
372	0.2664277583
373	0.265995983
374	0.2656153111
375	0.2652515376
376	0.2649065488
377	0.2645146491
378	0.2643038406
379	0.2639626897
380	0.2632595073
381	0.2627021485
382	0.2624364631
383	0.2619027456
384	0.2613426816
385	0.2609307906
386	0.26061649
387	0.2603679436
388	0.2601575316
389	0.2597772822
390	0.2594611868
391	0.2591294902
392	0.2586518469
393	0.2582997889
394	0.2578311315
395	0.2573010813
396	0.2569772799
397	0.2568054572
398	0.2563899269
399	0.2555472505
400	0.2552826713
401	0.2548895412
402	0.2545824763
403	0.2542548729
404	0.2538547286
405	0.2535880568
406	0.2532348145
407	0.2529085976
408	0.2526367062
409	0.2522079199
410	0.2520785914
411	0.2518245014
412	0.2516188453
413	0.251460632
414	0.2511828289
415	0.2511226765
416	0.2508248815
417	0.2504196391
418	0.2501703866
419	0.2498432817
420	0.2492732821
421	0.2490015247
422	0.2484992542
423	0.2481538139
424	0.2477609206
425	0.2473582307
426	0.2471111444
427	0.2467929196
428	0.2462369483
429	0.2461466794
430	0.2458704344
431	0.2455063897
432	0.2451204751
433	0.2449505146
434	0.2447549791
435	0.2442771304
436	0.2437817264
437	0.2435131232
438	0.2431429703
439	0.2427322361
440	0.2422748607
441	0.2419688376
442	0.2413957713
443	0.2411174193
444	0.2409057821
445	0.2405423889
446	0.2403855812
447	0.2399459128
448	0.2397338135
449	0.2393485744
450	0.2388636901
451	0.2385236592
452	0.2382747809
453	0.2378785118
454	0.2375397817
455	0.237315119
456	0.2369212297
457	0.2364605564
458	0.2362307982
459	0.2360306553
460	0.2357960838
461	0.2353705098
462	0.2350387474
463	0.2346838774
464	0.2342348805
465	0.2337382058
466	0.2334825017
467	0.2330952961
468	0.2327416437
469	0.2325004561
470	0.2323400496
471	0.2322991434
472	0.2319424958
473	0.2316666892
474	0.2313591526
475	0.2311003084
476	0.2309317499
477	0.230654407
478	0.2303396756
479	0.230210883
480	0.229733491
481	0.2291998679
482	0.2287044463
483	0.2282906048
484	0.2282090922
